Timestamp,Freq,Drive_Amp,Channel,X,Y,Z
3348.665769,60,0.1379,2,-0.041,0.08,2.959
3348.665975,60,0.1379,0,0.022,-0.063,2.954
3348.666925,60,0.1379,2,-0.032,0.062,2.847
3348.667136,60,0.1379,0,0.009,-0.048,2.776
3348.66808,60,0.1379,2,-0.017,0.037,2.4
3348.668296,60,0.1379,0,-0.009,-0.024,2.262
3348.669235,60,0.1379,2,0.002,0.008,1.693
3348.669457,60,0.1379,0,-0.033,0.003,1.515
3348.67039,60,0.1379,2,0.024,-0.017,0.861
3348.670617,60,0.1379,0,-0.046,0.034,0.663
3348.671545,60,0.1379,2,0.033,-0.043,0.057
3348.671778,60,0.1379,0,-0.059,0.06,-0.116
3348.6727,60,0.1379,2,0.037,-0.054,-0.569
3348.672938,60,0.1379,0,-0.058,0.072,-0.688
3348.673855,60,0.1379,2,0.029,-0.057,-0.884
3348.674098,60,0.1379,0,-0.053,0.067,-0.936
3348.67501,60,0.1379,2,0.021,-0.04,-0.844
3348.675259,60,0.1379,0,-0.039,0.052,-0.811
3348.676166,60,0.1379,2,0.0,-0.021,-0.462
3348.67642,60,0.1379,0,-0.017,0.025,-0.339
3348.67732,60,0.1379,2,-0.021,0.01,0.209
3348.67758,60,0.1379,0,0.002,-0.007,0.391
3348.678476,60,0.1379,2,-0.039,0.044,1.034
3348.67874,60,0.1379,0,0.02,-0.038,1.237
3348.679631,60,0.1379,2,-0.05,0.063,1.848
3348.679901,60,0.1379,0,0.03,-0.058,2.035
3348.680786,60,0.1379,2,-0.057,0.075,2.51
3348.681061,60,0.1379,0,0.034,-0.071,2.638
3348.681941,60,0.1379,2,-0.054,0.081,2.895
3348.682222,60,0.1379,0,0.027,-0.069,2.932
3348.683095,60,0.1379,2,-0.035,0.068,2.938
3348.683382,60,0.1379,0,0.013,-0.054,2.878
3348.684251,60,0.1379,2,-0.02,0.052,2.624
3348.684542,60,0.1379,0,-0.007,-0.035,2.48
3348.685406,60,0.1379,2,-0.003,0.019,2.021
3348.685703,60,0.1379,0,-0.024,-0.009,1.805
3348.68656,60,0.1379,2,0.021,-0.007,1.222
3348.686863,60,0.1379,0,-0.048,0.022,0.973
3348.687716,60,0.1379,2,0.032,-0.039,0.386
3348.688023,60,0.1379,0,-0.059,0.055,0.146
3348.688871,60,0.1379,2,0.038,-0.052,-0.331
3348.689184,60,0.1379,0,-0.061,0.067,-0.519
3348.690026,60,0.1379,2,0.03,-0.062,-0.792
3348.690344,60,0.1379,0,-0.056,0.073,-0.888
3348.691181,60,0.1379,2,0.021,-0.052,-0.907
3348.691505,60,0.1379,0,-0.046,0.059,-0.898
3348.692335,60,0.1379,2,0.003,-0.032,-0.661
3348.692666,60,0.1379,0,-0.022,0.039,-0.544
3348.69349,60,0.1379,2,-0.02,-0.002,-0.107
3348.693826,60,0.1379,0,-0.001,0.004,0.107
3348.694645,60,0.1379,2,-0.036,0.032,0.665
3348.694987,60,0.1379,0,0.017,-0.026,0.929
3348.6958,60,0.1379,2,-0.05,0.058,1.504
3348.696147,60,0.1379,0,0.022,-0.053,1.76
3348.696955,60,0.1379,2,-0.053,0.076,2.254
3348.697308,60,0.1379,0,0.035,-0.069,2.451
3348.69811,60,0.1379,2,-0.052,0.085,2.77
3348.698468,60,0.1379,0,0.029,-0.075,2.862
3348.699266,60,0.1379,2,-0.04,0.076,2.962
