Timestamp,Freq,Drive_Amp,Channel,X,Y,Z
244.568031,40,0.005,4,-0.013,1.043,0.007
244.568356,40,0.005,2,0.005,0.028,1.061
244.568394,40,0.005,0,-0.02,-0.001,1.042
244.568612,40,0.005,4,-0.003,1.002,0.005
244.568933,40,0.005,2,0.002,0.028,1.026
244.568974,40,0.005,0,-0.021,-0.002,1.001
244.569192,40,0.005,4,-0.004,0.958,0.011
244.569511,40,0.005,2,0.003,0.031,0.983
244.569555,40,0.005,0,-0.022,0.0,0.958
244.569773,40,0.005,4,-0.009,0.916,0.008
244.570088,40,0.005,2,0.002,0.034,0.939
244.570135,40,0.005,0,-0.025,0.0,0.921
244.570354,40,0.005,4,-0.005,0.876,0.008
244.570666,40,0.005,2,0.002,0.027,0.897
244.570716,40,0.005,0,-0.022,0.002,0.88
244.570934,40,0.005,4,-0.006,0.84,0.013
244.571244,40,0.005,2,0.0,0.032,0.859
244.571296,40,0.005,0,-0.018,-0.002,0.843
244.571514,40,0.005,4,-0.008,0.804,0.009
244.571822,40,0.005,2,0.001,0.031,0.827
244.571877,40,0.005,0,-0.027,-0.002,0.811
244.572095,40,0.005,4,-0.005,0.776,0.009
244.572399,40,0.005,2,-0.004,0.032,0.802
244.572457,40,0.005,0,-0.022,-0.003,0.782
244.572675,40,0.005,4,-0.004,0.75,0.004
244.572977,40,0.005,2,-0.003,0.034,0.779
244.573037,40,0.005,0,-0.022,-0.003,0.759
244.573256,40,0.005,4,-0.003,0.73,0.005
244.573554,40,0.005,2,-0.007,0.031,0.759
244.573618,40,0.005,0,-0.021,-0.003,0.742
244.573836,40,0.005,4,-0.003,0.712,0.004
244.574132,40,0.005,2,-0.008,0.031,0.748
244.574198,40,0.005,0,-0.028,0.001,0.733
244.574417,40,0.005,4,-0.001,0.708,0.009
244.57471,40,0.005,2,-0.007,0.029,0.739
244.574778,40,0.005,0,-0.019,-0.0,0.726
244.574998,40,0.005,4,0.0,0.708,0.01
244.575287,40,0.005,2,-0.005,0.031,0.744
244.575358,40,0.005,0,-0.016,-0.004,0.721
244.575578,40,0.005,4,-0.003,0.712,0.013
244.575865,40,0.005,2,-0.013,0.027,0.749
244.575939,40,0.005,0,-0.021,-0.002,0.734
244.576159,40,0.005,4,0.001,0.72,0.003
244.576442,40,0.005,2,-0.009,0.026,0.762
244.576519,40,0.005,0,-0.02,0.001,0.744
244.57674,40,0.005,4,-0.005,0.738,0.008
244.57702,40,0.005,2,-0.006,0.026,0.776
244.5771,40,0.005,0,-0.014,-0.003,0.764
244.57732,40,0.005,4,0.0,0.756,0.006
244.577597,40,0.005,2,-0.01,0.028,0.8
244.57768,40,0.005,0,-0.018,0.0,0.788
244.577901,40,0.005,4,-0.004,0.781,0.009
244.578175,40,0.005,2,-0.004,0.023,0.827
244.578261,40,0.005,0,-0.015,-0.004,0.815
244.578481,40,0.005,4,-0.003,0.812,0.007
244.578753,40,0.005,2,-0.004,0.026,0.86
