Timestamp,Freq,Drive_Amp,Channel,X,Y,Z
2848.701071,40,0.0568,4,0.016,0.67,0.001
2848.701263,40,0.0568,0,-0.038,0.003,0.655
2848.701334,40,0.0568,2,0.014,0.011,0.654
2848.702232,40,0.0568,4,0.026,0.42,-0.003
2848.702425,40,0.0568,0,-0.023,-0.007,0.409
2848.70249,40,0.0568,2,-0.004,0.015,0.407
2848.703394,40,0.0568,4,0.034,0.219,-0.007
2848.703587,40,0.0568,0,-0.012,-0.009,0.204
2848.703646,40,0.0568,2,-0.02,0.02,0.206
2848.704555,40,0.0568,4,0.041,0.078,-0.012
2848.704748,40,0.0568,0,0.003,-0.016,0.067
2848.704802,40,0.0568,2,-0.031,0.026,0.075
2848.705717,40,0.0568,4,0.047,0.012,-0.014
2848.705909,40,0.0568,0,0.006,-0.02,0.011
2848.705957,40,0.0568,2,-0.039,0.029,0.02
2848.706878,40,0.0568,4,0.047,0.031,-0.015
2848.70707,40,0.0568,0,0.013,-0.02,0.034
2848.707114,40,0.0568,2,-0.043,0.028,0.043
2848.70804,40,0.0568,4,0.045,0.127,-0.01
2848.708231,40,0.0568,0,0.012,-0.017,0.142
2848.708269,40,0.0568,2,-0.045,0.025,0.149
2848.709201,40,0.0568,4,0.038,0.298,-0.005
2848.709393,40,0.0568,0,0.013,-0.013,0.32
2848.709429,40,0.0568,2,-0.041,0.02,0.332
2848.710362,40,0.0568,4,0.033,0.527,-0.006
2848.710554,40,0.0568,0,0.009,-0.013,0.554
2848.710591,40,0.0568,2,-0.035,0.019,0.564
2848.711523,40,0.0568,4,0.027,0.791,-0.003
2848.711715,40,0.0568,0,-0.0,-0.007,0.827
2848.711752,40,0.0568,2,-0.021,0.015,0.844
2848.712684,40,0.0568,4,0.016,1.074,0.006
2848.712877,40,0.0568,0,-0.011,0.001,1.116
2848.712914,40,0.0568,2,-0.011,0.006,1.127
2848.713846,40,0.0568,4,0.003,1.352,0.012
2848.714039,40,0.0568,0,-0.025,0.011,1.396
2848.714075,40,0.0568,2,0.005,-0.005,1.405
2848.715007,40,0.0568,4,-0.003,1.592,0.015
2848.7152,40,0.0568,0,-0.038,0.017,1.643
2848.715237,40,0.0568,2,0.021,-0.011,1.658
2848.716168,40,0.0568,4,-0.013,1.789,0.018
2848.71636,40,0.0568,2,0.029,-0.019,1.848
2848.716396,40,0.0568,0,-0.048,0.025,1.833
2848.717329,40,0.0568,4,-0.022,1.919,0.023
2848.717516,40,0.0568,2,0.039,-0.021,1.973
2848.717552,40,0.0568,0,-0.057,0.022,1.957
2848.718491,40,0.0568,4,-0.025,1.962,0.024
2848.718672,40,0.0568,2,0.048,-0.02,2.014
2848.718708,40,0.0568,0,-0.066,0.029,1.997
2848.719652,40,0.0568,4,-0.021,1.929,0.023
2848.719828,40,0.0568,2,0.051,-0.021,1.969
2848.719864,40,0.0568,0,-0.073,0.028,1.954
2848.720813,40,0.0568,4,-0.019,1.806,0.024
2848.720984,40,0.0568,2,0.05,-0.018,1.85
2848.72102,40,0.0568,0,-0.076,0.029,1.829
2848.721975,40,0.0568,4,-0.007,1.622,0.021
2848.72214,40,0.0568,2,0.051,-0.014,1.658
2848.722177,40,0.0568,0,-0.069,0.026,1.629
2848.723136,40,0.0568,4,-0.002,1.385,0.019
2848.723296,40,0.0568,2,0.041,-0.007,1.408
2848.723333,40,0.0568,0,-0.07,0.014,1.383
2848.724298,40,0.0568,4,0.005,1.108,0.018
2848.724452,40,0.0568,2,0.032,-0.001,1.133
2848.72449,40,0.0568,0,-0.058,0.008,1.106
