Timestamp,Freq,Drive_Amp,Channel,X,Y,Z
1467.338205,40,0.4864,0,0.357,-0.061,-2.294
1467.338446,40,0.4864,2,-0.335,0.012,-2.261
1467.338483,40,0.4864,4,0.181,-2.23,0.043
1467.339366,40,0.4864,0,0.276,0.009,-1.951
1467.339602,40,0.4864,2,-0.289,0.061,-1.876
1467.339639,40,0.4864,4,0.21,-1.663,0.045
1467.340527,40,0.4864,0,0.281,-0.239,-1.304
1467.340758,40,0.4864,2,-0.266,0.246,-1.15
1467.340794,40,0.4864,4,0.108,-0.651,-0.038
1467.341688,40,0.4864,0,-0.057,0.053,-0.105
1467.341913,40,0.4864,2,0.13,-0.129,0.119
1467.34195,40,0.4864,4,0.011,0.248,-0.036
1467.342849,40,0.4864,0,-0.395,0.22,1.151
1467.343069,40,0.4864,2,0.384,-0.148,1.423
1467.343109,40,0.4864,4,-0.02,1.335,0.006
1467.34401,40,0.4864,0,-0.335,-0.158,2.231
1467.344224,40,0.4864,2,0.266,0.192,2.418
1467.344272,40,0.4864,4,-0.079,2.595,0.104
1467.34517,40,0.4864,0,-0.356,0.078,3.114
1467.345379,40,0.4864,2,0.355,-0.163,3.361
1467.345435,40,0.4864,4,-0.059,3.574,0.148
1467.346331,40,0.4864,0,-0.497,0.314,4.036
1467.346535,40,0.4864,2,0.465,-0.25,4.324
1467.346597,40,0.4864,4,-0.037,4.009,0.097
1467.347492,40,0.4864,0,-0.47,-0.068,4.768
1467.34769,40,0.4864,2,0.412,0.102,4.81
1467.34776,40,0.4864,4,-0.274,4.066,0.101
1467.348653,40,0.4864,0,-0.548,0.146,4.485
1467.348846,40,0.4864,2,0.534,-0.206,4.529
1467.348923,40,0.4864,4,-0.422,4.636,0.047
1467.349814,40,0.4864,0,-0.556,0.27,4.019
1467.350001,40,0.4864,2,0.502,-0.19,4.222
1467.350085,40,0.4864,4,-0.245,4.608,0.06
1467.350975,40,0.4864,0,-0.37,-0.101,4.311
1467.351156,40,0.4864,2,0.309,0.118,4.352
1467.351248,40,0.4864,4,0.124,3.826,0.054
1467.352136,40,0.4864,0,-0.336,0.187,4.093
1467.352312,40,0.4864,2,0.312,-0.242,4.063
1467.352411,40,0.4864,4,0.122,3.238,0.086
1467.353296,40,0.4864,0,-0.189,0.218,3.007
1467.353468,40,0.4864,2,0.131,-0.147,2.921
1467.353574,40,0.4864,4,-0.319,2.729,0.184
1467.354457,40,0.4864,0,0.056,-0.211,1.733
1467.354623,40,0.4864,2,-0.084,0.237,1.618
1467.354736,40,0.4864,4,-0.403,1.779,0.127
1467.355618,40,0.4864,0,-0.001,0.032,0.804
1467.355778,40,0.4864,2,0.008,-0.077,0.741
1467.355899,40,0.4864,4,-0.013,0.228,0.067
1467.356778,40,0.4864,0,0.087,0.158,-0.2
1467.356933,40,0.4864,2,-0.142,-0.107,-0.379
1467.357062,40,0.4864,4,0.4,-0.777,-0.036
1467.357938,40,0.4864,0,0.504,-0.239,-1.574
1467.358089,40,0.4864,2,-0.559,0.279,-1.766
1467.358224,40,0.4864,4,0.415,-1.347,-0.063
1467.359099,40,0.4864,0,0.627,-0.17,-2.322
1467.359244,40,0.4864,2,-0.623,0.146,-2.366
1467.359387,40,0.4864,4,0.023,-2.346,0.042
1467.36026,40,0.4864,0,0.485,0.005,-2.458
1467.360399,40,0.4864,2,-0.486,0.021,-2.49
1467.36055,40,0.4864,4,-0.174,-2.538,0.011
1467.36142,40,0.4864,0,0.488,-0.269,-2.514
1467.361555,40,0.4864,2,-0.512,0.307,-2.565
1467.361712,40,0.4864,4,-0.146,-2.402,0.014
1467.362581,40,0.4864,0,0.447,-0.25,-2.429
1467.36271,40,0.4864,2,-0.455,0.224,-2.451
1467.362875,40,0.4864,4,0.127,-2.285,0.02
1467.363742,40,0.4864,0,0.288,0.046,-2.143
1467.363866,40,0.4864,2,-0.29,-0.04,-2.129
1467.364038,40,0.4864,4,0.23,-2.08,0.035
1467.364903,40,0.4864,0,0.293,-0.14,-1.712
1467.365021,40,0.4864,2,-0.312,0.183,-1.673
1467.3652,40,0.4864,4,0.141,-1.127,0.019
1467.366064,40,0.4864,0,0.158,-0.176,-0.775
1467.366177,40,0.4864,2,-0.152,0.149,-0.716
1467.366363,40,0.4864,4,0.055,-0.193,-0.052
1467.367225,40,0.4864,0,-0.263,0.225,0.504
1467.367333,40,0.4864,2,0.28,-0.224,0.633
1467.367525,40,0.4864,4,-0.001,0.769,-0.034
1467.368386,40,0.4864,0,-0.394,0.035,1.688
1467.368488,40,0.4864,2,0.356,0.019,1.826
1467.368688,40,0.4864,4,-0.061,1.968,0.075
1467.369547,40,0.4864,0,-0.303,-0.147,2.673
1467.369644,40,0.4864,2,0.261,0.14,2.762
1467.369851,40,0.4864,4,-0.075,3.162,0.114
1467.370708,40,0.4864,0,-0.437,0.29,3.529
1467.3708,40,0.4864,2,0.424,-0.301,3.742
1467.371014,40,0.4864,4,-0.037,3.85,0.14
1467.371869,40,0.4864,0,-0.497,0.128,4.467
1467.371955,40,0.4864,2,0.45,-0.083,4.592
1467.372176,40,0.4864,4,-0.119,4.02,0.088
1467.37303,40,0.4864,0,-0.491,-0.06,4.763
1467.373111,40,0.4864,2,0.446,0.05,4.78
1467.373339,40,0.4864,4,-0.411,4.321,0.083
